Epoch 0173/2100 | Loss 0.08719 | Score: -8.0 | Epsilon=0.0918 (train=True)
Epoch 0174/2100 | Loss 0.07037 | Score: -8.0 | Epsilon=0.0917 (train=True)
Epoch 0175/2100 | Loss 0.06238 | Score: -8.0 | Epsilon=0.0917 (train=True)
Epoch 0176/2100 | Loss 0.09562 | Score: -8.0 | Epsilon=0.0916 (train=True)
Epoch 0177/2100 | Loss 0.06593 | Score: -7.0 | Epsilon=0.0916 (train=True)
Epoch 0178/2100 | Loss 0.04806 | Score: -7.0 | Epsilon=0.0915 (train=True)
Epoch 0179/2100 | Loss 0.08458 | Score: -5.0 | Epsilon=0.0915 (train=True)
Epoch 0180/2100 | Loss 0.07695 | Score: -5.0 | Epsilon=0.0914 (train=True)
Epoch 0181/2100 | Loss 0.06711 | Score: -7.0 | Epsilon=0.0914 (train=True)
Epoch 0182/2100 | Loss 0.07178 | Score: -4.0 | Epsilon=0.0913 (train=True)
Epoch 0183/2100 | Loss 0.08058 | Score: -5.0 | Epsilon=0.0913 (train=True)
Epoch 0184/2100 | Loss 0.06583 | Score: -3.0 | Epsilon=0.0912 (train=True)
Epoch 0185/2100 | Loss 0.06360 | Score: -6.0 | Epsilon=0.0912 (train=True)
Epoch 0186/2100 | Loss 0.07614 | Score: -8.0 | Epsilon=0.0912 (train=True)
Epoch 0187/2100 | Loss 0.05762 | Score: -7.0 | Epsilon=0.0911 (train=True)
Epoch 0188/2100 | Loss 0.06632 | Score: -3.0 | Epsilon=0.0911 (train=True)
Epoch 0189/2100 | Loss 0.08675 | Score: -8.0 | Epsilon=0.0910 (train=True)
Epoch 0190/2100 | Loss 0.06628 | Score: -7.0 | Epsilon=0.0910 (train=True)
Epoch 0191/2100 | Loss 0.06027 | Score: -7.0 | Epsilon=0.0909 (train=True)
Epoch 0192/2100 | Loss 0.06465 | Score: -6.0 | Epsilon=0.0909 (train=True)
Epoch 0193/2100 | Loss 0.07611 | Score: -6.0 | Epsilon=0.0908 (train=True)
Epoch 0194/2100 | Loss 0.05071 | Score: -8.0 | Epsilon=0.0908 (train=True)
Epoch 0195/2100 | Loss 0.07294 | Score: -7.0 | Epsilon=0.0907 (train=True)
Epoch 0196/2100 | Loss 0.11096 | Score: -8.0 | Epsilon=0.0907 (train=True)
Epoch 0197/2100 | Loss 0.07199 | Score: -3.0 | Epsilon=0.0906 (train=True)
Epoch 0198/2100 | Loss 0.07516 | Score: -7.0 | Epsilon=0.0906 (train=True)
Epoch 0199/2100 | Loss 0.08859 | Score: -6.0 | Epsilon=0.0905 (train=True)
Epoch 0200/2100 | Loss 0.07088 | Score: -7.0 | Epsilon=0.0905 (train=True)
Epoch 0201/2100 | Loss 0.09636 | Score: -7.0 | Epsilon=0.0904 (train=True)
Epoch 0202/2100 | Loss 0.06266 | Score: -8.0 | Epsilon=0.0904 (train=True)
Epoch 0203/2100 | Loss 0.08338 | Score: -7.0 | Epsilon=0.0903 (train=True)
Epoch 0204/2100 | Loss 0.09153 | Score: -8.0 | Epsilon=0.0903 (train=True)
Epoch 0205/2100 | Loss 0.05771 | Score: -7.0 | Epsilon=0.0902 (train=True)
Epoch 0206/2100 | Loss 0.08426 | Score: -8.0 | Epsilon=0.0902 (train=True)
Epoch 0207/2100 | Loss 0.07094 | Score: -4.0 | Epsilon=0.0902 (train=True)
Epoch 0208/2100 | Loss 0.06681 | Score: -8.0 | Epsilon=0.0901 (train=True)
Epoch 0209/2100 | Loss 0.09248 | Score: -6.0 | Epsilon=0.0901 (train=True)
Epoch 0210/2100 | Loss 0.07201 | Score: -8.0 | Epsilon=0.0900 (train=True)
Epoch 0211/2100 | Loss 0.08547 | Score: -7.0 | Epsilon=0.0900 (train=True)
Epoch 0212/2100 | Loss 0.05641 | Score: -7.0 | Epsilon=0.0899 (train=True)
Epoch 0213/2100 | Loss 0.07449 | Score: -7.0 | Epsilon=0.0899 (train=True)
Epoch 0214/2100 | Loss 0.08420 | Score: -5.0 | Epsilon=0.0898 (train=True)
Epoch 0215/2100 | Loss 0.06888 | Score: -6.0 | Epsilon=0.0898 (train=True)
Epoch 0216/2100 | Loss 0.06197 | Score: -3.0 | Epsilon=0.0897 (train=True)
Epoch 0217/2100 | Loss 0.07107 | Score: -6.0 | Epsilon=0.0897 (train=True)
Epoch 0218/2100 | Loss 0.07314 | Score: -5.0 | Epsilon=0.0896 (train=True)
Epoch 0219/2100 | Loss 0.04907 | Score: -8.0 | Epsilon=0.0896 (train=True)
Epoch 0220/2100 | Loss 0.06210 | Score: -8.0 | Epsilon=0.0895 (train=True)
Epoch 0221/2100 | Loss 0.08648 | Score: -7.0 | Epsilon=0.0895 (train=True)
Epoch 0222/2100 | Loss 0.07536 | Score: -7.0 | Epsilon=0.0894 (train=True)
Epoch 0223/2100 | Loss 0.08019 | Score: -6.0 | Epsilon=0.0894 (train=True)
Epoch 0224/2100 | Loss 0.07721 | Score: -8.0 | Epsilon=0.0893 (train=True)
Epoch 0225/2100 | Loss 0.06813 | Score: -6.0 | Epsilon=0.0893 (train=True)
Epoch 0226/2100 | Loss 0.09056 | Score: -7.0 | Epsilon=0.0892 (train=True)
Epoch 0227/2100 | Loss 0.09403 | Score: -8.0 | Epsilon=0.0892 (train=True)
Epoch 0228/2100 | Loss 0.06104 | Score: -7.0 | Epsilon=0.0892 (train=True)
Epoch 0229/2100 | Loss 0.07595 | Score: -6.0 | Epsilon=0.0891 (train=True)
Epoch 0230/2100 | Loss 0.06714 | Score: -6.0 | Epsilon=0.0891 (train=True)
Epoch 0231/2100 | Loss 0.06427 | Score: -2.0 | Epsilon=0.0890 (train=True)
Epoch 0232/2100 | Loss 0.08425 | Score: -5.0 | Epsilon=0.0890 (train=True)
